year,rank,country,agglomeration,population
1950,1,United States of America,New York-Newark,12.34
1950,2,Japan,Tokyo,11.27
1950,3,United Kingdom,London,8.36
1950,4,France,Paris,6.28
1950,5,Russian Federation,Moskva (Moscow),5.36
1950,6,Argentina,Buenos Aires,5.10
1950,7,United States of America,Chicago,5.00
1950,8,India,Kolkata (Calcutta),4.51
1950,9,China,Shanghai,4.30
1950,10,Japan,Osaka-Kobe,4.15
1950,11,United States of America,Los Angeles-Long Beach-Santa Ana,4.05
1950,12,Germany,Berlin,3.34
1950,13,United States of America,Philadelphia,3.13
1950,14,Brazil,Rio de Janeiro,2.95
1950,15,Russian Federation,Sankt Peterburg (Saint Petersburg),2.90
1950,16,Mexico,Ciudad de México (Mexico City),2.88
1950,17,India,Mumbai (Bombay),2.86
1950,18,United States of America,Detroit,2.77
1950,19,United States of America,Boston,2.55
1950,20,Egypt,Al-Qahirah (Cairo),2.49
1950,21,China,Tianjin,2.47
1950,22,United Kingdom,Manchester,2.42
1950,23,Brazil,São Paulo,2.33
1950,24,United Kingdom,Birmingham,2.23
1950,25,China,Shenyang,2.15
1950,26,Italy,Roma (Rome),1.88
1950,27,Italy,Milano (Milan),1.88
1950,28,United States of America,San Francisco-Oakland,1.86
1950,29,Spain,Barcelona,1.81
1950,30,United Kingdom,Glasgow,1.76
1955,1,Japan,Tokyo,13.71
1955,2,United States of America,New York-Newark,13.22
1955,3,United Kingdom,London,8.28
1955,4,France,Paris,6.80
1955,5,China,Shanghai,5.85
1955,6,Argentina,Buenos Aires,5.80
1955,7,Russian Federation,Moskva (Moscow),5.75
1955,8,United States of America,Chicago,5.56
1955,9,United States of America,Los Angeles-Long Beach-Santa Ana,5.15
1955,10,Japan,Osaka-Kobe,5.12
1955,11,India,Kolkata (Calcutta),5.06
1955,12,Mexico,Ciudad de México (Mexico City),3.80
1955,13,Brazil,Rio de Janeiro,3.59
1955,14,United States of America,Philadelphia,3.51
1955,15,India,Mumbai (Bombay),3.43
1955,16,Germany,Berlin,3.30
1955,17,Russian Federation,Sankt Peterburg (Saint Petersburg),3.14
